from,to,w
0,14270,0.410087555
0,16976,0.270293298
0,12029,0.053567498
0,3001,0.819193013
0,14581,0.196642096
0,14145,0.283328869
0,25564,0.643797196
1,26065,0.005159786
1,2514,0.665766654
1,16675,0.289945403
1,19675,0.21229881
1,34,0.328662477
1,190,0.0049195
1,2211,0.073306203
1,2003,0.151149951
1,11290,0.264785751
1,5011,0.109703147
1,24836,0.021460463
1,18843,0.799172068
1,10646,0.039247691
1,22658,0.290756412
1,6133,0.684180805
1,21695,0.843560756
1,23366,0.844590759
1,20208,0.542148476
1,26238,0.869676863
1,16152,0.805105591
1,24911,0.204537302
1,10314,0.449302924
1,17,0.6671666
1,12734,0.367809679
1,13802,0.093910715
1,19211,0.955745006
1,3153,0.557032882
1,24435,0.392518529
1,1370,0.268352508
1,23544,0.003599691
1,25311,0.196757282
1,11706,0.116822851
1,28238,0.230042069
1,22673,0.682736484
1,3290,0.800935887
1,15292,0.907897209
1,7618,0.640720065
1,8071,0.428543885
1,15355,0.340739527
1,3364,0.205134081
1,22616,0.06073492
1,8884,0.271157673
1,21365,0.840006719
1,19996,0.684224856
1,24213,0.950165288
1,16211,0.496305764
1,9264,0.9219147
1,18934,0.897188298
1,875,0.325107276
1,24342,0.065928456
1,2039,0.877843234
1,16374,0.956620736
1,5789,0.390215665
1,23558,0.36082514
1,26930,0.756976245
1,9051,0.490110768
1,25638,0.29968313
1,23019,0.828619338
1,22630,0.658448476
1,11329,0.124744367
1,21500,0.078269401
1,6163,0.923931177
1,11558,0.772025703
1,3490,0.354794305
1,20689,0.799336536
1,4069,0.16534132
1,951,0.55085305
1,14603,0.323103241
1,14220,0.925809861
1,26277,0.819349051
1,15057,0.135943729
1,22581,0.26586594
2,26177,0.251141272
2,9835,0.725508447
2,14276,0.542430706
2,10082,0.88723257
2,3354,0.769781499
2,18084,0.178735398
2,32,0.514110156
2,808,0.243369448
2,24576,0.351439169
3,3585,0.435174516
3,5607,0.604199126
3,9093,0.821299136
3,5150,0.393520799
3,24280,0.262995548
3,12034,0.930475653
3,3421,0.0198853
3,16049,0.895231541
3,15401,0.191826601
4,1116,0.332558627
4,5252,0.807143018
4,16304,0.780055964
4,10838,0.619840206
4,24023,0.433919009
4,5203,0.983182751
4,14995,0.099271903
4,23757,0.398277459
4,17462,0.641308989
4,6347,0.172797479
4,24122,0.639590088
5,2040,0.643492551
5,19454,0.060665195
5,13709,0.034152335
5,5786,0.751548355
5,2518,0.566231995
5,872,0.29885481
5,4081,0.843620549
5,24370,0.141669034
5,19435,0.141641085
5,1971,0.069255876
5,13491,0.283782574
5,22487,0.207868903
5,11385,0.19497019
5,19171,0.061730802
5,8775,0.871691878
5,14947,0.332935033
5,11958,0.551388694
5,14732,0.769504163
5,11780,0.987049929
5,28065,0.428416367
5,25982,0.403612499
5,23620,0.150341748
5,7224,0.093164206
5,27927,0.287108722
5,9798,0.523986911
5,23684,0.207216233
5,7029,0.229479707
5,8596,0.171739586
5,18753,0.460100757
5,14974,0.370353398
6,935,0.272308156
7,17761,0.547692244
7,5961,0.520581133
7,21431,0.191636554
7,13649,0.706126664
7,22775,0.640612563
7,24884,0.755938928
7,9443,0.19000968
8,10111,0.891712581
8,21633,0.120131058
8,21665,0.116901682
8,6268,0.796211858
8,15515,0.327355261
9,9375,0.359302019
9,2542,0.621189519
9,27562,0.555630871
10,6885,0.04889984
10,23165,0.414840329
10,19601,0.855453138
10,1676,0.48268825
10,18366,0.4047012
10,10619,0.648618772
10,3818,0.817163164
10,26716,0.678849672
10,16702,0.541181083
10,4711,0.173516973
11,25459,0.563512415
12,23475,0.794992447
12,18926,0.464038662
12,26124,0.371684723
12,8766,0.373247611
13,12855,0.336371012
13,19193,0.647254412
13,21577,0.622030942
13,22973,0.846516357
13,7626,0.283070181
13,1379,0.75135228
13,14835,0.634585033
13,1613,0.105994437
13,23372,0.80764409
13,25684,0.743127517
13,14832,0.661415208
14,25844,0.010667285
14,13556,0.45216805
14,5393,0.076685292
14,19287,0.478484375
14,1030,0.715761583
14,16486,0.494487839
15,1197,0.777993669
16,2156,0.829153922
16,2349,0.412947445
16,8113,0.604685745
16,10711,0.318743588
17,19507,0.09986664
17,8426,0.093776232
17,24836,0.376177673
17,8149,0.649748977
17,34,0.44624539
17,871,0.474555976
17,9036,0.658114416
17,432,0.837751035
17,3343,0.262817364
17,17777,0.639731962
17,10051,0.795974997
17,11267,0.014728621
17,19949,0.438977144
17,1654,0.078258505
17,19211,0.163010499
17,20013,0.098674779
17,4069,0.902684141
17,450,0.074375874
17,27135,0.634041476
17,13333,0.045305649
17,27780,0.892883497
18,26476,0.977066827
18,19419,0.271999078
18,3197,0.759797507
18,4999,0.934043919
18,13222,0.492302302
18,18874,0.588279246
19,18591,0.602645716
20,14017,0.061104095
20,1489,0.240867327
20,2964,0.654825625
20,18732,0.580376503
20,12596,0.184854173
20,28169,0.262554252
20,11214,0.382980612
20,22656,0.074639724
20,11361,0.917888962
21,10379,0.044419022
21,25302,0.716241214
22,7659,0.635069781
22,25689,0.32010084
22,4877,0.80086899
22,2261,0.547598757
23,17730,0.883521876
23,18425,0.98784797
23,20108,0.136430175
23,15308,0.313956635
23,22104,0.111503984
23,28194,0.584157183
23,10070,0.277832526
23,3186,0.66126342
23,25545,0.182697922
23,7290,0.625609203
23,2602,0.422537265
23,3667,0.289851917
23,21079,0.58451326
23,1840,0.130811217
23,8818,0.016919789
23,2210,0.568138121
23,26961,0.831884953
23,21377,0.291048631
23,26061,0.629639658
24,21525,0.593132731
24,24135,0.39827741
24,8948,0.014522029
24,22558,0.363791136
24,23719,0.194399776
24,199,0.186330004
24,12266,0.220436629
24,1544,0.387637181
25,23717,0.689880879
25,10553,0.946639314
25,22541,0.492347145
26,24468,0.144799862
26,11409,0.177413982
26,20664,0.996556017
27,18884,0.987138203
27,6282,0.966646573
28,5961,0.415107307
28,9706,0.361365024
28,840,0.738188777
28,1431,0.04750463
28,21771,0.200354704
28,10100,0.365008598
28,5070,0.856422364
29,1750,0.249449143
29,10740,0.524481391
29,1658,0.82417406
29,7930,0.028643626
29,13787,0.508961533
29,582,0.119638008
29,18761,0.879918575
30,19375,0.679557863
30,20172,0.332383771
30,18133,0.330293902
30,19467,0.398174558
30,4717,0.138039045
30,20523,0.47434858
31,18244,0.04576296
31,27099,0.884116189
31,23549,0.706190507
31,5536,0.333660852
31,2562,0.919143407
31,19445,0.873758389
31,27333,0.528014003
31,26861,0.17914878
31,24664,0.248770631
31,27496,0.594823258
31,6504,0.289848961
31,16287,0.618550794
31,26194,0.43930459
31,69,0.620542624
32,9035,0.017404517
32,8757,0.526124652
32,4399,0.637813104
32,10456,0.777543529
32,16734,0.371980004
32,24950,0.905737427
32,21483,0.888668421
32,14828,0.011254439
33,27821,0.012890155
33,5327,0.05819561
33,8096,0.367898007
33,19712,0.518647103
33,18679,0.520657518
33,21438,0.845868873
33,22416,0.515992458
33,5485,0.338953577
34,20689,0.70423726
34,19411,0.992908159
34,3343,0.571132212
34,19926,0.872398976
35,8781,0.75347979
35,16983,0.284137713
35,18626,0.983881882
35,9395,0.162044168
35,2015,0.144498199
36,22491,0.204766566
36,251,0.4333443
36,17782,0.941918053
37,15866,0.764997143
37,2454,0.698402859
38,9228,0.371398585
38,6079,0.157904887
38,12436,0.165026095
39,14687,0.717410561
39,17527,0.560954299
39,22714,0.715149432
39,11436,0.539895583
40,406,0.912032291
40,2841,0.338957143
40,10535,0.544627687
40,9095,0.637278671
40,24415,0.029698291
40,341,0.895764912
40,20724,0.629126902
41,21886,0.3769464
42,8799,0.592512871
43,11538,0.900515324
43,9030,0.039435521
43,11484,0.771653652
43,19650,0.980010025
43,1321,0.953307298
43,27779,0.802363117
44,15561,0.273113246
45,18082,0.114272857
45,17599,0.176237655
45,6841,0.13717286
45,22164,0.15093397
45,20941,0.2586981
45,25992,0.136790231
45,5751,0.302599914
45,9231,0.231246823
46,20450,0.136524721
46,25638,0.46961961
46,10591,0.194006144
